| TO: 0                 | TM: 0                | J: 275              |
|-----------------------|----------------------|---------------------|
| 1X (121) Ryon Healy   | 1X (121) RyonHealy   | 1X (121) Ryon ealy  |
| 2X (121) Ryon Hy      | 2X (121) Ryon Hly    | 2X (121) RyoHealy   |
| 3X (122) Jesús Guzmán | 3X (126) Jared Walsh | +92 Eric Thames     |
| Skipped!              | Skipped!             | +90 Julio Franco    |
| Skipped!              | Skipped!             | +93 Darin Ruf       |
| Skipped!              | Skipped!             | 3X (128) Ron Coomer |
| Skipped!              | Skipped!             | Skipped!            |
| Skipped!              | Skipped!             | Skipped!            |
